number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
101,"CHISINAU, IGORI VIERU, 2/3",47.0437071,28.8910604,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
102,"CHISINAU, ACADEMICIAN A. SAHAROV, 2/3",47.0367863,28.8651546,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
103,"IALOVENI, SAT. RAZENI",46.7718216,28.9012754,,,,,,,
104,"CHISINAU, STEFAN NEAGA, 67",47.03202479999999,28.8041768,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
105,"CHISINAU, IGORI VIERU, 20",47.0562621,28.8919069,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
106,"CHISINAU, MUNCESTI, 170",47.0025426,28.8690552,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–23:00
107,"CHISINAU, BUBUIECI, STEFAN CEL MARE, 29/1",47.0242788,28.8216106,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
108,"CHISINAU, ION CREANGA, 5/2",47.03202479999999,28.8041768,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
109,"CHISINAU, STUDENTILOR, 7/9",47.0625992,28.8499555,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
110,"CHISINAU, CALEA IESILOR, 47",47.0443266,28.7873039,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
111,"CHISINAU, CIOCIRLIEI, 15/1",46.9775442,28.8364791,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
112,"CHISINAU, DOINA, 84A",47.057502,28.8468547,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
113,"DUMBRAVA, PETRU MOVILA, 39",47.0415512,28.7518662,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
114,"CHISINAU, PUTNEI, 28",47.0613025,28.8465511,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
115,"DURLESTI, STR. LIVIU DELEANU, 14/B, NR. 1A",47.0415512,28.7518662,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
116,"ORHEI, STR. NISTREANA, NR. 20",47.3756777,28.8181443,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
117,MĂGDĂCEŞTI,47.1445645,28.835548,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
118,"BALTI, STR. LOCOMOTIVELOR, 3/E",47.7842592,27.9250749,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
119,"BALTI, STR. IVAN KONEV, 19",47.78929549999999,27.8960287,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
120,"BALTI, STR. ALEXANDR PUSKIN, 47",47.74081779999999,27.8761774,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
121,"ORHEI, STR. VASILE LUPU, 120/A",47.37638519999999,28.8236779,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
122,"ORHEI, STR. MIHAI SADOVEANE, 28/1",47.3976846,28.8148601,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
123,"SINGERA, STR. CHISINAU, 20A",46.91980849999999,28.9714619,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
124,"CHISINAU, STR. PIETRARILOR, 12/4",47.0006263,28.8040394,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
125,"CHISINAU, STR. MILESCU SPATARU, 9/4",47.04000019999999,28.8911634,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
126,"CHISINAU, STR. ALECSANDRII, 80/A",47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
127,"CODRU, STR. COSTIUJENI, 78",46.9775442,28.8364791,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
128,"CHISINAU, SOS.HINCESTI, 141",46.9959944,28.785691,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
129,"CHISINAU, STR. MOARA ROSIER, 5D",46.98903120000001,28.8523944,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
130,"CHISINAU, STR. MESTERUL MANOLE, 5D",47.0295361,28.8836503,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
131,"TOHATIN, STR. STEFAN CEL MARE, 2",47.0362699,28.8503694,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
132,"HINCESTI, STR. CHISINAU",46.8308055,28.5890603,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
133,"CHISINAU, STR. PLAIULUI, 2",47.0005557,28.8604223,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
134,"COJUSNA, STR. MIHAI VITEAZU",47.092267,28.662248,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
135,"CHISINAU, STR. PARIS, 12/2",47.0309828,28.78118259999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
136,"CHISINAU, STR. TIGHINA, 65",47.0185178,28.8518569,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
137,"CHISINAU, STR. MARIA DRAGAN, 30/3",47.0225511,28.8835699,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
138,"STRĂȘENI, STR. ȘTEFAN CEL MARE ȘI SFÂNT 40/C",47.0754725,28.7347536,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
139,"CHISINAU, STR. BUREBISTA, 22",46.99052229999999,28.8834733,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
140,"IALOVENI, STR. ALEXANDRU CEL BUN, 3/B",46.9474571,28.7747916,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
