number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
60,"Balti, str. Alexandru cel Bun, 5",47.7862196,27.8994938,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
61,"Balti, str. Hotin, 17",47.7674428,27.9379731,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
62,"Edinet, str. Independentei, 90",48.1653469,27.3154733,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
63,"Soroca, str. Stefan cel Mare, 110",48.16396,28.3034668,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
64,"Comrat, str. Pobedi, 58",46.30087020000001,28.6521882,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
65,"Cahul, str. Stefan cel Mare, 20",45.9087043,28.2001318,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
66,"Chisinau, str. Calea Iesilor, 10",47.0443266,28.7873039,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
67,"Chisinau, bd. Moscovei, 19",47.0444921,28.8601928,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
68,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
69,"Chisinau, bd. Constantin Negruzzi, 2/4",47.0185178,28.8518569,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
70,"Chisinau, str. Codrilor, 16",46.9775442,28.8364791,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
71,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
72,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
73,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
74,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
75,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
76,Chisinau,47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
