number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
1,"CHISINAU, CREANGA ION, 78",47.027618,28.793996,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
2,"CHISINAU, MIRCEA CEL BATRIN, 12, 2",47.043707,28.89106,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
3,"CHISINAU, TRAIAN, 23, 3",46.978512,28.846224,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
4,"CHISINAU, MOSCOVA, 10, 1",47.04933,28.863896,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
5,"CHISINAU, GHIBU ONISIFOR, 7, 2",47.036535,28.777654,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
6,"CHISINAU, TITULESCU NICOLAE, 47",46.993985,28.868087,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
7,"CHISINAU, CANTEMIR DIMITRIE, 9",47.018518,28.851857,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
8,"EINETI, 31 AUGUST 1989, 14",47.027199,28.846911,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
9,"CHISINAU, BASARAB MATEI, 5, 1",47.05491,28.868602,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,09:00–22:00
10,"CHISINAU, STUDENTILOR, 2, 2",47.062599,28.849956,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
11,"SOROCA, G. VIERU, 1",48.156027,28.303283,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
12,"CHISINAU, MARIA DRAGAN, 4, 1",47.029536,28.88365,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
13,"CAUSENI, STR. IURII GAGARIN, 20",46.651061,29.406004,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
14,"TELENESTI, 8 MARTIE",47.505329,28.367708,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
15,"CHISINAU, MIRCEA CEL BATRIN, 11, 6",47.04,28.891163,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
16,"CHISINAU, ALBA-IULIA, 196, 4",47.039254,28.768566,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
17,"BALTI, BULGARA, 136",47.789295,27.896029,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
