number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
1,"OR. CHISINAU, STR. GHIOCEILOR 29",47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
2,"OR. CHISINAU, STR. GHIOCEILOR, 29",47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
3,"OR. CHISINAU, STR. ZAIKIN 51",47.0293103,28.8359752,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
4,"OR. CHISINAU, STR. KIEV, 2",47.0293103,28.8359752,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
5,"OR. CHISINAU, STR. VALEA TRANDAFIRILOR, 2/1",46.9982105,28.8529768,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
6,"OR. CHISINAU, STR. TEILOR, 7/2",47.0185178,28.8518569,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
7,"OR. CHISINAU, STR. STEFAN CEL MARE, 3",47.02719889999999,28.8469112,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
8,"OR. CHISINAU, STR. G. COSBUC, 1",47.030355,28.8398213,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
9,"OR. CHISINAU, STR. GRENOBLE, 157/1",46.9814841,28.8386346,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
10,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
11,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
12,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
13,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
14,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
15,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
16,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
17,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
18,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
19,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
20,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
21,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
22,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
23,"OR. CHISINAU, STR.",47.0333751,28.86594669999999,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
